state,town,count
Alaska,Anchorage,2
Alaska,Wasilla,2
Alabama,Alabaster,2
Alabama,Albertville,1
Alabama,Aliceville,1
Alabama,Andalusia,1
Alabama,Anniston,2
Alabama,Arab,1
Alabama,Athens,1
Alabama,Attalla,1
Alabama,Auburn,4
Alabama,Bay Minette,1
Alabama,Bayou La Batre,1
Alabama,Bessemer,4
Alabama,Birmingham,12
Alabama,Cahaba Heights,1
Alabama,Calera,1
Alabama,Camden,1
Alabama,Center Point,1
Alabama,Centre,1
Alabama,Centreville,1
Alabama,Childersburg,1
Alabama,Citronelle,1
Alabama,Clanton,1
Alabama,Columbiana,1
Alabama,Cullman,2
Alabama,Daphne,2
Alabama,Decatur,2
Alabama,Demopolis,1
Alabama,Dothan,4
Alabama,East Oneonta,1
Alabama,Enterprise,1
Alabama,Evergreen,1
Alabama,Fairhope,1
Alabama,Florence,3
Alabama,Foley,1
Alabama,Fultondale,2
Alabama,Gadsden,2
Alabama,Gardendale,1
Alabama,Gordo,1
Alabama,Grand Bay,1
Alabama,Greensboro,1
Alabama,Greenville,1
Alabama,Gulf Shores,1
Alabama,Guntersville,1
Alabama,Haleyville,1
Alabama,Hanceville,1
Alabama,Hartselle,1
Alabama,Harvest,1
Alabama,Helena,1
Alabama,Homewood,3
Alabama,Hoover,4
Alabama,Hueytown,1
Alabama,Huntsville,9
Alabama,Jackson,1
Alabama,Jacksonville,1
Alabama,Jasper,1
Alabama,Lanett,1
Alabama,Leeds,1
Alabama,Madison,3
Alabama,Meridianville,1
Alabama,Midfield,1
Alabama,Millbrook,1
Alabama,Mobile,13
Alabama,Montevallo,1
Alabama,Montgomery,11
Alabama,Moody,1
Alabama,Moulton,1
Alabama,Mountain Brook,1
Alabama,Muscle Shoals,1
Alabama,Northport,2
Alabama,Opelika,2
Alabama,Orange Beach,1
Alabama,Oxford,2
Alabama,Ozark,1
Alabama,Pelham,2
Alabama,Pell City,1
Alabama,Phenix City,2
Alabama,Piedmont,1
Alabama,Pinson,1
Alabama,Pleasant Grove,1
Alabama,Prattville,3
Alabama,Prichard,1
Alabama,Rainbow City,1
Alabama,Robertsdale,1
Alabama,Russellville,1
Alabama,Saraland,1
Alabama,Scottsboro,1
Alabama,Selma,1
Alabama,Semmes,1
Alabama,Spanish Fort,1
Alabama,Sylacauga,1
Alabama,Talladega,1
Alabama,Tallassee,1
Alabama,Troy,1
Alabama,Trussville,1
Alabama,Tuscaloosa,7
Alabama,Tuskegee,1
Alabama,Union Springs,1
Alabama,Vestavia,2
Alabama,Warrior,1
Alabama,Wetumpka,1
Arkansas,Bella Vista,1
Arkansas,Bryant,2
Arkansas,Conway,2
Arkansas,Fayetteville,2
Arkansas,Fort Smith,1
Arkansas,Hot Springs,1
Arkansas,Jonesboro,2
Arkansas,Little Rock,3
Arkansas,North Little Rock,1
Arkansas,Paragould,1
Arkansas,Rogers,2
Arkansas,Russellville,1
Arkansas,Sherwood,1
Arkansas,Springdale,1
Arkansas,Texarkana,1
Arkansas,Van Buren,1
Arizona,Anthem,1
Arizona,Apache Junction,1
Arizona,Avondale,1
Arizona,Buckeye,1
Arizona,Bullhead City,2
Arizona,Camp Verde,1
Arizona,Carefree,1
Arizona,Casa Grande,1
Arizona,Cave Creek,1
Arizona,Chandler,12
Arizona,Cottonwood,1
Arizona,Douglas,1
Arizona,Flagstaff,2
Arizona,Fort Mohave,1
Arizona,Fountain Hills,2
Arizona,Gilbert,6
Arizona,Glendale,5
Arizona,Globe,1
Arizona,Goodyear,3
Arizona,Green Valley,1
Arizona,Kingman,1
Arizona,Lake Havasu City,1
Arizona,Laveen,1
Arizona,Litchfield Park,1
Arizona,Marana,1
Arizona,Maricopa,1
Arizona,Mesa,18
Arizona,Oro Valley,2
Arizona,Parker,1
Arizona,Peoria,9
Arizona,Phoenix,44
Arizona,Prescott,2
Arizona,Prescott Valley,1
Arizona,Queen Creek,3
Arizona,Scottsdale,13
Arizona,Sedona,1
Arizona,Show Low,1
Arizona,Sierra Vista,2
Arizona,Sun City,2
Arizona,Sun City West,1
Arizona,Sun Lakes,1
Arizona,Surprise,5
Arizona,Taylor,1
Arizona,Tempe,8
Arizona,Tolleson,1
Arizona,Tucson,25
Arizona,Wickenburg,1
Arizona,Yuma,4
California,Adelanto,1
California,Agoura,1
California,Alameda,4
California,Alamo,1
California,Albany,2
California,Alhambra,4
California,Aliso Viejo,2
California,Alpine,1
California,Anaheim,10
California,Anaheim Hills,2
California,Anderson,1
California,Angels Camp,1
California,Antioch,2
California,Apple Valley,3
California,Aptos,1
California,Arcadia,2
California,Arcata,1
California,Arleta,1
California,Arroyo Grande,1
California,Artesia,1
California,Arvin,1
California,Atascadero,1
California,Atwater,2
California,Auburn,4
California,Azusa,4
California,Bakersfield,14
California,Baldwin Park,3
California,Bell,1
California,Benicia,1
California,Berkeley,4
California,Berkley,1
California,Beverly Hills,1
California,Big Bear Lake,1
California,Brea,2
California,Brentwood,2
California,Buellton,1
California,Buena Park,3
California,Burbank,7
California,Burlingame,1
California,Byron,1
California,Calexico,1
California,Camarillo,5
California,Campbell,2
California,Canoga Park,2
California,Canyon Country,1
California,Capitola,3
California,Carlsbad,3
California,Carmel,1
California,Carmichael,1
California,Carpinteria,1
California,Carson,4
California,Castro Valley,1
California,Cathedral City,3
California,Cerritos,3
California,Chico,4
California,Chino,3
California,Chino Hills,2
California,Chula Vista,8
California,Citrus Heights,1
California,City Of Industry,1
California,Clayton,1
California,Cloverdale,1
California,Clovis,7
California,Coachella,1
California,Colma,1
California,Colton,1
California,Commerce,1
California,Compton,3
California,Concord,3
California,Corona,5
California,Costa Mesa,5
California,Covina,2
California,Crescent City,1
California,Culver City,3
California,Cupertino,2
California,Cypress,2
California,Daly City,3
California,Dana Point,2
California,Danville,2
California,Davis,3
California,Del Mar,1
California,Diamond Bar,2
California,Dixon,1
California,Downey,3
California,Duarte,2
California,Dublin,3
California,Eagle Rock,1
California,East Palo Alto,1
California,Eastvale,1
California,El Cajon,7
California,El Centro,2
California,El Cerrito,2
California,El Dorado Hills,2
California,Elk Grove,5
California,El Monte,3
California,Emeryville,2
California,Encinitas,3
California,Encino,2
California,Escondido,6
California,Eureka,3
California,Fairfield,4
California,Fair Oaks,2
California,Fallbrook,1
California,Felton,1
California,Fillmore,1
California,Flintridge,1
California,Folsom,4
California,Fontana,5
California,Foothill Ranch,2
California,Fort Bragg,1
California,Fountain Valley,1
California,Fowler,1
California,Fremont,5
California,Fresno,18
California,Fullerton,6
California,Galt,1
California,Gardena,2
California,Garden Grove,3
California,Gilroy,2
California,Glendale,4
California,Glendora,2
California,Goleta,4
California,Granada Hills,4
California,Grand Terrace,1
California,Granite Bay,1
California,Grass Valley,1
California,Greenbrae,1
California,Gridley,1
California,Hacienda Heights,1
California,Half Moon Bay,1
California,Hanford,3
California,Hawaiian Gardens,1
California,Hawthorne,4
California,Hayward,5
California,Healdsburg,1
California,Hemet,5
California,Hermosa Beach,2
California,Hesperia,2
California,Highland,2
California,Hollister,1
California,Hollywood,2
California,Huntington,4
California,Huntington Beach,6
California,Huntington Park,2
California,Imperial Beach,2
California,Indian Wells,1
California,Indio,3
California,Inglewood,4
California,Irvine,11
California,Jackson,1
California,Kingsburg,1
California,Ladera Ranch,2
California,Lafayette,1
California,Laguna Beach,1
California,Laguna Hills,1
California,Laguna Niguel,4
California,La Habra,4
California,La Jolla,3
California,Lake Elsinore,3
California,Lake Forest,4
California,Lakeport,1
California,Lakewood,5
California,La Mesa,2
California,La Mirada,2
California,Lamont,1
California,Lancaster,6
California,La Puente,2
California,La Quinta,2
California,Lathrop,1
California,La Verne,2
California,Lawndale,3
California,Lemon Grove,1
California,Lincoln,2
California,Livermore,3
California,Livingston,1
California,Lodi,3
California,Lomita,2
California,Lompoc,1
California,Long Beach,13
California,Los Alamitos,1
California,Los Angeles,57
California,Los Banos,1
California,Los Gatos,2
California,Lynwood,1
California,Madera,2
California,Malibu,1
California,Manhattan Beach,3
California,Manteca,3
California,Marina,2
California,Marina Del Rey,1
California,Martinez,2
California,Mar Vista,1
California,Marysville,1
California,Mckinleyville,1
California,Menifee,3
California,Menlo Park,2
California,Merced,2
California,Mill Valley,1
California,Milpitas,1
California,Mira Loma,1
California,Mira Mesa,1
California,Mission Hills,2
California,Mission Viejo,7
California,Modesto,9
California,Monrovia,1
California,Montclair,2
California,Montebello,3
California,Monterey,2
California,Monterey Park,2
California,Montrose,1
California,Moorpark,2
California,Moraga,2
California,Moreno Valley,3
California,Morgan Hill,2
California,Mountain View,5
California,Mt Shasta,1
California,Murrieta,6
California,Napa,3
California,National City,2
California,Newark,1
California,Newbury Park,3
California,Newport Beach,2
California,Nipomo,1
California,Norco,3
California,North Hollywood,5
California,Northridge,5
California,Norwalk,5
California,Novato,3
California,Oakdale,1
California,Oakhurst,1
California,Oakland,8
California,Oak Park,1
California,Oceanside,6
California,Ontario,3
California,Orange,6
California,Orangevale,1
California,Orinda,1
California,Orland,1
California,Oroville,1
California,Oxnard,3
California,Pacific Palisades,1
California,Pacoima,1
California,Palmdale,4
California,Palm Desert,2
California,Palm Springs,1
California,Palo Alto,3
California,Palos Verdes Peninsula,1
California,Paramount,1
California,Pasadena,8
California,Paso Robles,2
California,Patterson,1
California,Petaluma,3
California,Pico Rivera,3
California,Pinole,2
California,Pismo Beach,1
California,Pittsburg,2
California,Placentia,3
California,Placerville,1
California,Playa Vista,1
California,Pleasant Hill,1
California,Pleasanton,3
California,Pollock Pines,1
California,Pomona,4
California,Porter Ranch,1
California,Porterville,5
California,Port Hueneme,1
California,Poway,1
California,Prather,1
California,Ramona,1
California,Rancho,1
California,Rancho Bernardo,1
California,Rancho Cordova,2
California,Rancho Cucamonga,4
California,Rancho Mirage,1
California,Rancho Santa,1
California,Rancho Santa Margarita,1
California,Red Bluff,1
California,Redding,6
California,Redlands,4
California,Redondo Beach,4
California,Redwood City,3
California,Reedley,1
California,Reseda,3
California,Rialto,1
California,Richmond,2
California,Ripon,1
California,Riverbank,2
California,Riverside,11
California,Rocklin,3
California,Rohnert Park,2
California,Rosemead,2
California,Roseville,6
California,Rowland Heights,1
California,Sacramento,17
California,Salinas,7
California,San Anselmo,1
California,San Bernardino,4
California,San Bruno,2
California,San Carlos,2
California,San Clemente,3
California,Sand City,1
California,San Diego,36
California,San Dimas,2
California,San Fernando,1
California,San Francisco,24
California,San Gabriel,1
California,Sanger,1
California,San Jacinto,1
California,San Jose,29
California,San Leandro,4
California,San Luis Obispo,4
California,San Marcos,5
California,San Mateo,6
California,San Pedro,3
California,San Rafael,3
California,San Ramon,4
California,Santa Ana,8
California,Santa Barbara,7
California,Santa Clara,4
California,Santa Clarita,4
California,Santa Cruz,2
California,Santa Fe Springs,1
California,Santa Maria,5
California,Santa Monica,4
California,Santa Paula,1
California,Santa Rosa,6
California,Santee,2
California,Saratoga,1
California,Saugus,1
California,Sausalito,2
California,Scotts Valley,1
California,Seal Beach,3
California,Sebastopol,1
California,Sherman Oaks,2
California,Shingle Springs,2
California,Signal Hill,1
California,Simi Valley,6
California,Solana Beach,2
California,Soledad,1
California,Solvang,1
California,Sonoma,1
California,Sonora,1
California,South El Monte,1
California,South Gate,3
California,South Lake Tahoe,2
California,Spring Valley,1
California,Stanton,1
California,Stockton,5
California,Studio City,2
California,Sunnyvale,4
California,Sun Valley,1
California,Sylmar,1
California,Tahoe City,1
California,Tarzana,1
California,Temecula,7
California,Temple City,2
California,Thousand Oaks,5
California,Tiburon,1
California,Torrance,7
California,Trabuco Canyon,1
California,Tracy,3
California,Truckee,1
California,Tujunga,1
California,Tulare,4
California,Turlock,3
California,Tustin,4
California,Ukiah,1
California,Upland,5
California,Vacaville,3
California,Valencia,2
California,Vallejo,2
California,Valley Springs,1
California,Van Nuys,4
California,Venice,2
California,Ventura,7
California,Victorville,2
California,Visalia,5
California,Vista,6
California,Walnut Creek,4
California,Walnut Park,1
California,Watsonville,3
California,Weaverville,1
California,West Covina,5
California,West Hills,1
California,West Hollywood,2
California,Westlake Village,1
California,Westminster,3
California,West Sacramento,1
California,Whittier,5
California,Wilmington,1
California,Winchester,1
California,Windsor,1
California,Winnetka,2
California,Woodland,2
California,Woodland Hills,4
California,Yorba Linda,2
California,Yuba City,2
California,Yucaipa,1
Colorado,Arvada,1
Colorado,Aurora,5
Colorado,Boulder,1
Colorado,Brighton,1
Colorado,Castle Rock,2
Colorado,Colorado Springs,6
Colorado,Denver,7
Colorado,Edgewater,1
Colorado,Englewood,1
Colorado,Fort Collins,2
Colorado,Glendale,1
Colorado,Glenwood Springs,1
Colorado,Grand Junction,1
Colorado,Greeley,1
Colorado,Highlands Ranch,2
Colorado,Lakewood,2
Colorado,Littleton,2
Colorado,Lone Tree,1
Colorado,Longmont,1
Colorado,Loveland,1
Colorado,Montrose,1
Colorado,Parker,2
Colorado,Pueblo,1
Colorado,Sheridan,1
Colorado,Silverthorne,1
Colorado,Superior,1
Colorado,Thornton,1
Colorado,Westminster,2
Colorado,Wheat Ridge,1
Connecticut,Ansonia,2
Connecticut,Avon,1
Connecticut,Berlin,1
Connecticut,Bethel,2
Connecticut,Bloomfield,2
Connecticut,Branford,1
Connecticut,Bridgeport,3
Connecticut,Bristol,3
Connecticut,Brookfield,1
Connecticut,Brooklyn,1
Connecticut,Burlington,1
Connecticut,Canton,1
Connecticut,Cheshire,2
Connecticut,Clinton,1
Connecticut,Colchester,1
Connecticut,Cos Cob,1
Connecticut,Coventry,1
Connecticut,Cromwell,1
Connecticut,Danbury,4
Connecticut,Darien,1
Connecticut,Dayville,1
Connecticut,Derby,1
Connecticut,East Hampton,1
Connecticut,East Hartford,3
Connecticut,East Haven,2
Connecticut,East Lyme,2
Connecticut,Enfield,3
Connecticut,Fairfield,4
Connecticut,Farmington,1
Connecticut,Gales Ferry,1
Connecticut,Glastonbury,2
Connecticut,Granby,1
Connecticut,Greenwich,2
Connecticut,Groton,1
Connecticut,Guilford,1
Connecticut,Hamden,2
Connecticut,Hartford,6
Connecticut,Hebron,1
Connecticut,Kensington,1
Connecticut,Lisbon,1
Connecticut,Litchfield,1
Connecticut,Madison,1
Connecticut,Manchester,4
Connecticut,Mansfield,2
Connecticut,Meriden,4
Connecticut,Middletown,2
Connecticut,Milford,3
Connecticut,Monroe,1
Connecticut,Mystic,1
Connecticut,Naugatuck,1
Connecticut,New Britain,3
Connecticut,New Canaan,1
Connecticut,New Haven,3
Connecticut,Newington,2
Connecticut,New London,1
Connecticut,New Milford,1
Connecticut,Newtown,1
Connecticut,North Haven,2
Connecticut,Norwalk,4
Connecticut,Norwich,1
Connecticut,Old Greenwich,1
Connecticut,Old Saybrook,1
Connecticut,Orange,2
Connecticut,Plainfield,1
Connecticut,Plainville,1
Connecticut,Plymouth,1
Connecticut,Prospect,1
Connecticut,Putnam,1
Connecticut,Ridgefield,2
Connecticut,Riverside,1
Connecticut,Rockville,1
Connecticut,Rocky Hill,2
Connecticut,Seymour,1
Connecticut,Simsbury,1
Connecticut,Southbury,1
Connecticut,Southington,3
Connecticut,South Windsor,1
Connecticut,Stafford Springs,1
Connecticut,Stamford,9
Connecticut,Stratford,2
Connecticut,Suffield,1
Connecticut,Torrington,2
Connecticut,Trumbull,3
Connecticut,Uncasville,1
Connecticut,Unionville,1
Connecticut,Vernon,1
Connecticut,Wallingford,1
Connecticut,Waterbury,5
Connecticut,Waterford,2
Connecticut,Watertown,1
Connecticut,West Hartford,7
Connecticut,West Haven,3
Connecticut,Westport,1
Connecticut,Wethersfield,1
Connecticut,Willimantic,1
Connecticut,Wilton,1
Connecticut,Windsor,3
Connecticut,Windsor Locks,1
Connecticut,Winsted,1
Delaware,Bear,1
Delaware,Bethany Beach,1
Delaware,Claymont,1
Delaware,Dover,3
Delaware,Lewes,1
Delaware,Middletown,1
Delaware,Milford,1
Delaware,Newark,2
Delaware,New Castle,1
Delaware,Ocean View,1
Delaware,Pike Creek,1
Delaware,Rehoboth,1
Delaware,Selbyville,1
Delaware,Wilmington,4
Florida,Alachua,1
Florida,Altamonte,1
Florida,Altamonte Springs,4
Florida,Apalachicola,1
Florida,Apollo Beach,1
Florida,Apopka,2
Florida,Arcadia,1
Florida,Auburndale,1
Florida,Aventura,2
Florida,Avon Park,1
Florida,Bartow,1
Florida,Baytree,1
Florida,Belle Glade,1
Florida,Belleview,1
Florida,Beverly Hills,1
Florida,Big Pine Key,1
Florida,Boca Raton,11
Florida,Bonita Springs,3
Florida,Boynton Beach,9
Florida,Bradenton,9
Florida,Brandon,4
Florida,Brooksville,3
Florida,Bushnell,1
Florida,Callahan,1
Florida,Cantonment,1
Florida,Cape Coral,6
Florida,Carol City,1
Florida,Casselberry,1
Florida,Century,1
Florida,Chattahoochee,1
Florida,Chiefland,1
Florida,Chipley,1
Florida,Citrus Hills,1
Florida,Clearwater,9
Florida,Clearwater Beach,1
Florida,Clermont,4
Florida,Clewiston,1
Florida,Cocoa,2
Florida,Cocoa Beach,1
Florida,Coconut Creek,2
Florida,Coconut Grove,1
Florida,Cooper City,1
Florida,Coral Gables,2
Florida,Coral Springs,8
Florida,Crawfordville,1
Florida,Crestview,1
Florida,Crystal River,1
Florida,Dade City,1
Florida,Davenport,4
Florida,Davie,3
Florida,Daytona Beach,3
Florida,Daytona Beach Shores,1
Florida,Deerfield Beach,4
Florida,Deland,2
Florida,Delray Beach,5
Florida,Deltona,2
Florida,Destin,2
Florida,Doral,4
Florida,Dunedin,2
Florida,Dunnellon,1
Florida,East Palatka,1
Florida,Edgewater,1
Florida,Englewood,1
Florida,Estero,2
Florida,Eustis,1
Florida,Fernandina Beach,1
Florida,Flagler Beach,1
Florida,Fleming Island,1
Florida,Fort Lauderdale,11
Florida,Fort Myers,15
Florida,Fort Myers Beach,1
Florida,Fort Pierce,4
Florida,Fort Walton Beach,2
Florida,Ft Myers,1
Florida,Ft Myers,2
Florida,Gainesville,12
Florida,Greenacres,2
Florida,Green Cove Springs,1
Florida,Gulf Breeze,2
Florida,Haines City,1
Florida,Hallandale,1
Florida,Hawthorne,1
Florida,Heathrow,1
Florida,Hialeah,19
Florida,High Springs,1
Florida,Hobe Sound,1
Florida,Holiday,1
Florida,Hollywood,8
Florida,Holmes Beach,1
Florida,Homestead,5
Florida,Homosassa,1
Florida,Hudson,2
Florida,Immokalee,1
Florida,Indialantic,1
Florida,Indian Rocks Beach,1
Florida,Interlachen,1
Florida,Inverness,1
Florida,Islamorada,1
Florida,Jacksonville,32
Florida,Jacksonville Beach,2
Florida,Jasper,1
Florida,Jensen Beach,2
Florida,Jonesville,1
Florida,Juno Beach,1
Florida,Jupiter,3
Florida,Kendall,1
Florida,Key Biscaynne,1
Florida,Key Largo,1
Florida,Keystone Heights,1
Florida,Key West,4
Florida,Kissimmee,12
Florida,Lady Lake,1
Florida,Lake Butler,1
Florida,Lake City,2
Florida,Lakeland,9
Florida,Lake Mary,2
Florida,Lake Park,1
Florida,Lake Placid,1
Florida,Lake Wales,1
Florida,Lake Worth,7
Florida,Lantana,1
Florida,Largo,7
Florida,Lauderhill,3
Florida,Leesburg,1
Florida,Lehigh Acres,1
Florida,Lighthouse Point,1
Florida,Live Oak,1
Florida,Longboat Key,1
Florida,Longwood,2
Florida,Lutz,2
Florida,Lynn Haven,1
Florida,Macclenny,1
Florida,Madeira Beach,1
Florida,Madison,1
Florida,Marco Island,1
Florida,Margate,2
Florida,Marianna,1
Florida,Mary Esther,2
Florida,Melbourne,6
Florida,Melbourne Village,1
Florida,Merritt Island,3
Florida,Miami,82
Florida,Miami Beach,6
Florida,Miami Gardens,2
Florida,Miami Lakes,1
Florida,Middleburg,1
Florida,Milton,1
Florida,Minneola,1
Florida,Miramar,5
Florida,Miramar Beach,2
Florida,Monticello,1
Florida,Mount Dora,4
Florida,Naples,16
Florida,Navarre,1
Florida,Neptune Beach,1
Florida,New Port Richey,6
Florida,New Smyrna Beach,1
Florida,Niceville,2
Florida,Nokomis,1
Florida,North Fort Myers,3
Florida,North Miami,2
Florida,North Miami Beach,4
Florida,North Palm Beach,1
Florida,North Port,1
Florida,Oakland Park,1
Florida,Ocala,9
Florida,Ocoee,1
Florida,Okeechobee,1
Florida,Oldsmar,1
Florida,Orange City,2
Florida,Orange Park,3
Florida,Orlando,43
Florida,Ormond Beach,2
Florida,Osprey,1
Florida,Oviedo,3
Florida,Pace,2
Florida,Palatka,1
Florida,Palm Bay,3
Florida,Palm Beach,4
Florida,Palm Beach Gardens,1
Florida,Palm City,1
Florida,Palm Coast,3
